tenantID,slo_type,eval_period,sla_func_type,param1,param2,param3,...
1,latency,10000,APWL,0.0,0.0,30000,0.0,0.2
2,latency,10000,APWL,0.0,0.0,30000,0.0,0.2
3,latency,10000,APWL,0.0,0.0,30000,0.0,0.2
4,latency,10000,APWL,0.0,0.0,30000,0.0,0.2
5,latency,10000,APWL,0.0,0.0,30000,0.0,0.06
6,latency,10000,APWL,0.0,0.0,30000,0.0,0.06
7,latency,10000,APWL,0.0,0.0,30000,0.0,0.06
8,latency,10000,APWL,0.0,0.0,30000,0.0,0.06
9,latency,10000,APWL,0.0,0.0,30000,0.0,0.01
10,latency,10000,APWL,0.0,0.0,30000,0.0,0.01
11,latency,10000,APWL,0.0,0.0,30000,0.0,0.01
12,latency,10000,APWL,0.0,0.0,30000,0.0,0.01
